Using device: cuda
ref_path: gpt2-124m, RATIO: 0.8, PROB AUC: 0.5937549719125188, LOGPROB AUC: 0.6737446303344796, PROB ACC: 0.5262832405689548, LOGPROB ACC: 0.536178107606679
ref_path: gpt2-124m, RATIO: 0.8, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.8, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-124m, RATIO: 0.9, PROB AUC: 0.5920308656329168, LOGPROB AUC: 0.6717298583999314, PROB ACC: 0.5225726654298083, LOGPROB ACC: 0.536178107606679
ref_path: gpt2-124m, RATIO: 0.9, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.9, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-124m, RATIO: 1.0, PROB AUC: 0.5922955243608414, LOGPROB AUC: 0.6715523993684906, PROB ACC: 0.5213358070500927, LOGPROB ACC: 0.536178107606679
ref_path: gpt2-124m, RATIO: 1.0, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 1.0, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839




ref_path: gpt2-355m, PPL AUC: 0.6465658617777725, PROB AUC: 0.5964902887074863, LOGPROB AUC: 0.6749134122312108, PPL ACC: 0.557204700061843, PROB ACC: 0.5213358070500927, LOGPROB ACC: 0.53865182436611
ref_path: gpt2-355m, RATIO: 0.01, PROB AUC: 0.6615856270423086, LOGPROB AUC: 0.62580468491843, PROB ACC: 0.6153370439084724, LOGPROB ACC: 0.5893630179344465
ref_path: gpt2-355m, RATIO: 0.01, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.01, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.02, PROB AUC: 0.6923411129740911, LOGPROB AUC: 0.6436683841437296, PROB ACC: 0.640074211502783, LOGPROB ACC: 0.5967841682127396
ref_path: gpt2-355m, RATIO: 0.02, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.02, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.03, PROB AUC: 0.6982722221542302, LOGPROB AUC: 0.652117575787245, PROB ACC: 0.6301793444650587, LOGPROB ACC: 0.588126159554731
ref_path: gpt2-355m, RATIO: 0.03, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.03, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.04, PROB AUC: 0.7037275575517996, LOGPROB AUC: 0.6584479677881261, PROB ACC: 0.6338899196042053, LOGPROB ACC: 0.5819418676561534
ref_path: gpt2-355m, RATIO: 0.04, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.04, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.05, PROB AUC: 0.7079590375601219, LOGPROB AUC: 0.6640562851093516, PROB ACC: 0.6363636363636364, LOGPROB ACC: 0.5769944341372912
ref_path: gpt2-355m, RATIO: 0.05, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.05, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.06, PROB AUC: 0.709845304678799, LOGPROB AUC: 0.6683045931292758, PROB ACC: 0.6437847866419295, LOGPROB ACC: 0.5807050092764379
ref_path: gpt2-355m, RATIO: 0.06, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.06, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.07, PROB AUC: 0.7085373092315411, LOGPROB AUC: 0.6716457183419209, PROB ACC: 0.6413110698824984, LOGPROB ACC: 0.5819418676561534
ref_path: gpt2-355m, RATIO: 0.07, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.07, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.08, PROB AUC: 0.7076561333512832, LOGPROB AUC: 0.6746625218764151, PROB ACC: 0.6314162028447743, LOGPROB ACC: 0.5819418676561534
ref_path: gpt2-355m, RATIO: 0.08, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.08, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.09, PROB AUC: 0.7077800487094446, LOGPROB AUC: 0.6777191007110599, PROB ACC: 0.6326530612244898, LOGPROB ACC: 0.5782312925170068
ref_path: gpt2-355m, RATIO: 0.09, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.09, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.1, PROB AUC: 0.7053017415462189, LOGPROB AUC: 0.6796818587915652, PROB ACC: 0.6202844774273346, LOGPROB ACC: 0.5769944341372912
ref_path: gpt2-355m, RATIO: 0.1, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.1, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.2, PROB AUC: 0.6986424384094776, LOGPROB AUC: 0.6931289698809189, PROB ACC: 0.6153370439084724, LOGPROB ACC: 0.5757575757575758
ref_path: gpt2-355m, RATIO: 0.2, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.2, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.3, PROB AUC: 0.6873370742513064, LOGPROB AUC: 0.697368098985424, PROB ACC: 0.6091527520098948, LOGPROB ACC: 0.5695732838589982
ref_path: gpt2-355m, RATIO: 0.3, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.3, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.4, PROB AUC: 0.6689624154009963, LOGPROB AUC: 0.6961610716077788, PROB ACC: 0.5868893011750155, LOGPROB ACC: 0.564625850340136
ref_path: gpt2-355m, RATIO: 0.4, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.4, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.5, PROB AUC: 0.6503582836652022, LOGPROB AUC: 0.692042798222962, PROB ACC: 0.557204700061843, LOGPROB ACC: 0.5522572665429808
ref_path: gpt2-355m, RATIO: 0.5, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.5, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.6, PROB AUC: 0.6336205313980101, LOGPROB AUC: 0.687623150448543, PROB ACC: 0.5435992578849722, LOGPROB ACC: 0.5485466914038343
ref_path: gpt2-355m, RATIO: 0.6, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.6, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.7, PROB AUC: 0.6178909300077103, LOGPROB AUC: 0.6821831132433391, PROB ACC: 0.531230674087817, LOGPROB ACC: 0.5448361162646876
ref_path: gpt2-355m, RATIO: 0.7, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.7, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.8, PROB AUC: 0.6031786584097223, LOGPROB AUC: 0.6775033961987051, PROB ACC: 0.5213358070500927, LOGPROB ACC: 0.5398886827458256
ref_path: gpt2-355m, RATIO: 0.8, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.8, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 0.9, PROB AUC: 0.5970563218250131, LOGPROB AUC: 0.6752239655362323, PROB ACC: 0.5213358070500927, LOGPROB ACC: 0.53865182436611
ref_path: gpt2-355m, RATIO: 0.9, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 0.9, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-355m, RATIO: 1.0, PROB AUC: 0.5964795799728304, LOGPROB AUC: 0.6749088227735011, PROB ACC: 0.5213358070500927, LOGPROB ACC: 0.5398886827458256
ref_path: gpt2-355m, RATIO: 1.0, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-355m, RATIO: 1.0, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839




